81,79,78,76,76,75,74,75,60,32,29,33,36,32,25,18,12,16,38,58,64,62,62,62,62,62,62,62,62,64
81,79,79,77,76,77,74,58,33,34,38,46,39,39,31,29,19,19,17,24,44,62,62,62,62,62,62,62,64,65
82,82,79,78,78,69,41,33,31,35,38,45,48,35,27,22,19,21,19,18,18,35,62,62,62,62,64,64,65,66
82,82,82,79,74,42,34,27,33,39,42,47,55,58,48,42,35,29,25,27,27,33,51,65,64,64,64,65,66,66
82,82,82,82,55,32,38,35,32,38,47,68,81,82,73,67,61,55,50,53,61,72,50,60,65,65,66,66,66,67
84,84,84,81,35,24,37,37,29,31,53,81,88,88,84,70,64,60,55,58,74,93,76,50,65,66,66,66,66,67
84,84,84,75,33,32,38,38,33,42,62,77,88,85,82,70,58,55,50,53,65,82,97,62,62,67,67,67,66,67
85,85,85,67,32,33,30,36,45,51,66,82,91,85,79,66,58,55,53,54,65,72,101,92,61,69,68,67,67,68
87,85,87,57,27,27,32,42,48,62,87,94,87,79,62,44,41,47,48,57,78,65,94,103,65,69,69,69,69,69
87,87,88,53,21,29,37,39,54,88,96,87,79,60,47,37,27,22,27,41,62,60,88,114,76,69,69,69,69,69
88,88,88,55,23,31,37,39,70,100,91,85,76,64,50,36,30,22,23,30,36,55,62,91,82,67,69,69,69,69
90,88,88,68,64,60,45,39,78,97,88,85,67,47,38,32,17,15,24,55,64,65,27,32,50,62,70,69,69,69
90,90,88,69,91,101,81,55,84,97,90,81,69,54,45,36,29,19,25,77,85,64,19,25,60,64,69,69,70,70
90,90,85,70,78,92,88,55,84,94,92,88,85,73,53,37,27,27,48,82,78,60,22,25,54,74,70,70,70,70
90,90,88,55,48,84,84,42,68,85,85,88,88,79,60,45,35,33,64,96,87,68,42,55,69,70,70,70,70,71
91,91,90,55,62,106,91,42,55,82,85,82,77,65,55,44,31,33,70,87,88,75,65,62,87,72,70,71,71,71
92,91,91,81,78,84,82,45,51,66,73,70,57,65,62,39,27,41,78,74,82,72,76,85,117,82,69,71,71,71
93,92,91,90,88,90,70,45,58,50,51,41,47,77,44,21,27,34,35,39,50,66,58,72,146,88,69,72,72,71
93,93,91,90,87,94,57,48,62,51,38,27,42,60,18,24,34,32,25,25,34,65,48,68,121,74,72,72,72,72
94,93,91,90,88,94,57,55,55,51,39,22,30,46,19,23,53,66,55,44,35,67,55,79,85,71,72,73,72,72
94,94,93,92,91,82,55,66,51,38,36,21,22,42,23,27,50,66,77,77,88,76,55,64,72,74,74,73,72,73
94,94,94,92,93,81,53,67,58,36,30,21,19,35,22,25,46,55,58,62,103,85,27,48,72,75,74,74,72,73
94,94,94,93,96,82,44,57,51,36,29,22,22,33,21,19,27,39,47,41,71,108,51,48,75,75,74,74,73,73
97,96,94,93,94,94,48,34,41,36,30,19,21,33,23,18,19,24,25,21,50,68,50,60,76,76,75,75,74,74
97,96,94,92,94,101,85,42,27,29,27,19,19,36,29,18,22,22,23,25,58,62,53,74,76,76,75,75,74,74
97,96,94,92,96,100,100,88,57,30,22,21,19,35,33,22,19,18,19,25,42,45,62,82,76,76,75,75,74,74
97,97,94,92,96,101,100,94,91,77,48,22,19,32,41,36,27,21,19,23,29,37,70,85,76,76,76,76,76,76
97,97,94,90,99,101,100,88,82,85,78,58,27,22,38,46,39,29,25,22,31,51,81,84,75,76,76,76,76,76
97,97,85,90,103,103,97,87,81,79,76,75,60,29,24,29,29,27,25,22,27,48,73,78,76,76,76,76,76,76
97,87,76,94,103,103,93,87,85,79,77,82,78,58,25,19,21,23,22,22,29,46,71,78,76,76,76,76,76,76
